#{"t_start": 1775529475.2006943, "env_id": "MountainCarContinuous-v0"}
r,l,t
-32.504201,999,0.958745
-34.744071,999,7.33242
-33.139193,999,13.7707
-32.860347,999,20.245429
-31.004645,999,27.608903
-29.946927,999,37.254772
-30.41317,999,43.902043
-28.900705,999,50.412613
-26.436504,999,56.739485
-23.918805,999,62.9586
-21.761021,999,73.884225
-17.985626,999,80.458849
-13.981807,999,86.615969
-11.138192,999,93.117403
-8.899896,999,99.901195
-7.056684,999,110.781153
-5.460449,999,117.309849
-4.152469,999,123.880858
-3.294562,999,130.140106
-2.578011,999,136.17086
-2.124721,999,145.300582
-1.613899,999,151.723213
-1.262532,999,157.950674
-1.153375,999,164.49603
-0.980623,999,171.152514
-0.847774,999,181.732656
-0.769766,999,187.948534
-0.796324,999,194.135402
-0.798024,999,200.354312
-0.751243,999,206.49423
